;;;;;;;;;;;;;;;;;;;;;
Base articles - Vente produits;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Classification article;;;Article;;;;;;Visible dans les outils;;Tarification;;;;;;Unité de mesure article;;;;
Catalogue;Famille;Sous-famille;Code;"Libellé court
(JDE, BL)";"Libellé commercial
(Devis, rapport, facture, OCW, UNITEC)";Statut article;Statut Stock;Article soumis à restriction client;OCW;UNITEC;Famille;Sous-famille;Code sous-Famille;"Tarif de référence
(pour unité de mesure principale)";Code de regroupement;Libellé code regroupement;Unité de mesure principale;Unité de mesure d'appro;Unité de mesure par défaut en nomenclature de pièces détachées;Conversion unité de mesure appro;Conversion unité de mesure nomenclature
CATEGORIE_ARTICLE;FAMILLE_ARTICLE;SOUS_FAMILLE_ARTICLE;CODE;LIBELLE;LIBELLE_COMMERCIAL;STATUT_ARTICLE;STATUT_STOCK;Art_sous_restriction;OCW;UNITEC;LIB_FAMILLE_TARIFAIRE;LIB_SOUS_FAMILLE_TARIFAIRE;SOUS_FAMILLE_TARIFAIRE;TARIF_REF_UM_PRIN;CODE_REGROUPEMENT;LIBELLE_REGROUPEMENT;UM_PRINCIPAL;UM_APPRO;UM_DEFAUT_BOM;CONV_UM_APPRO;CONV_UM_BOM
Catalogue produits;Alimentation;AES;428510000405;ALIM.940 48V  8A RACK SS BATT.; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   5076,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000037;ALIM AES 48V 8A C180 SB; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   7590,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000038;AES 230V C85 SB; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;  14216,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000150;VARIATION 24V 225W COF.90 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   3603,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000151;VARIATION 24V 450W COF.90 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   4100,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000152;VARIATION 48V 225W COF.90 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   3719,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000153;VARIATION 24V 225W COF.17 V2;VARIATION 24V 225W COF.17 V2;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   2397,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000154;VARIATION 48V 225W COF.17 V2; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   2530,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000155;VARIATION 24V 225W COF.38 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   2849,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000156;VARIATION 24V 450W COF.38 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   3393,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000157;VARIATION 48V 225W COF.38 V2; ;Article ouvert;Article stocké Pierrelaye (Fab. Acquigny); ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   2942,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;AES;428512000158;VARIATION 24V 225W VERS.CAB V2; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   2071,00;; ;Unité;Unité;Unité; ; 
